,date_as_date,Stringency_index_in_Israel
95142,2020-01-01,0.0
95143,2020-01-02,0.0
95144,2020-01-03,0.0
95145,2020-01-04,0.0
95146,2020-01-05,0.0
95147,2020-01-06,0.0
95148,2020-01-07,0.0
95149,2020-01-08,0.0
95150,2020-01-09,0.0
95151,2020-01-10,0.0
95152,2020-01-11,0.0
95153,2020-01-12,0.0
95154,2020-01-13,0.0
95155,2020-01-14,0.0
95156,2020-01-15,0.0
95157,2020-01-16,0.0
95158,2020-01-17,0.0
95159,2020-01-18,0.0
95160,2020-01-19,0.0
95161,2020-01-20,0.0
95162,2020-01-21,0.0
95163,2020-01-22,0.0
95164,2020-01-23,0.0
95165,2020-01-24,0.0
95166,2020-01-25,0.0
95167,2020-01-26,0.0
95168,2020-01-27,2.78
95169,2020-01-28,2.78
95170,2020-01-29,2.78
95171,2020-01-30,2.78
95172,2020-01-31,2.78
95173,2020-02-01,2.78
95174,2020-02-02,13.89
95175,2020-02-03,13.89
95176,2020-02-04,13.89
95177,2020-02-05,13.89
95178,2020-02-06,13.89
95179,2020-02-07,13.89
95180,2020-02-08,13.89
95181,2020-02-09,19.44
95182,2020-02-10,19.44
95183,2020-02-11,19.44
95184,2020-02-12,19.44
95185,2020-02-13,19.44
95186,2020-02-14,19.44
95187,2020-02-15,19.44
95188,2020-02-16,19.44
95189,2020-02-17,19.44
95190,2020-02-18,19.44
95191,2020-02-19,19.44
95192,2020-02-20,19.44
95193,2020-02-21,19.44
95194,2020-02-22,19.44
95195,2020-02-23,19.44
95196,2020-02-24,19.44
95197,2020-02-25,19.44
95198,2020-02-26,19.44
95199,2020-02-27,19.44
95200,2020-02-28,19.44
95201,2020-02-29,19.44
95202,2020-03-01,19.44
95203,2020-03-02,19.44
95204,2020-03-03,19.44
95205,2020-03-04,33.33
95206,2020-03-05,33.33
95207,2020-03-06,33.33
95208,2020-03-07,33.33
95209,2020-03-08,33.33
95210,2020-03-09,33.33
95211,2020-03-10,33.33
95212,2020-03-11,33.33
95213,2020-03-12,41.67
95214,2020-03-13,52.78
95215,2020-03-14,52.78
95216,2020-03-15,62.96
95217,2020-03-16,68.52
95218,2020-03-17,77.78
95219,2020-03-18,77.78
95220,2020-03-19,77.78
95221,2020-03-20,81.48
