תאריך,מספר בדיקות מצטבר,מספר חולים מאושפזים,מספר חולים מונשמים,מספר חולים מצטבר,מספר חולים קשה,מספר נפטרים מצטבר
26/01/2020 00:00:00,132,0,0,7,0,0
27/01/2020 00:00:00,133,0,0,7,0,0
28/01/2020 00:00:00,133,0,0,7,0,0
29/01/2020 00:00:00,139,0,0,7,0,0
30/01/2020 00:00:00,143,0,0,7,0,0
31/01/2020 00:00:00,143,0,0,7,0,0
01/02/2020 00:00:00,143,0,0,7,0,0
02/02/2020 00:00:00,150,0,0,7,0,0
03/02/2020 00:00:00,157,0,0,7,0,0
04/02/2020 00:00:00,163,0,0,7,0,0
05/02/2020 00:00:00,163,0,0,7,0,0
06/02/2020 00:00:00,163,0,0,7,0,0
07/02/2020 00:00:00,163,0,0,7,0,0
08/02/2020 00:00:00,163,0,0,7,0,0
09/02/2020 00:00:00,203,0,0,7,0,0
10/02/2020 00:00:00,231,0,0,7,0,0
11/02/2020 00:00:00,281,0,0,7,0,0
12/02/2020 00:00:00,316,0,0,7,0,0
13/02/2020 00:00:00,351,0,0,7,0,0
14/02/2020 00:00:00,381,0,0,7,0,0
15/02/2020 00:00:00,384,0,0,7,0,0
16/02/2020 00:00:00,407,0,0,7,0,0
17/02/2020 00:00:00,448,0,0,7,0,0
18/02/2020 00:00:00,494,0,0,7,0,0
19/02/2020 00:00:00,528,0,0,7,0,0
20/02/2020 00:00:00,557,0,0,7,0,0
21/02/2020 00:00:00,585,2,0,8,0,0
22/02/2020 00:00:00,598,2,0,8,0,0
23/02/2020 00:00:00,654,2,0,8,0,0
24/02/2020 00:00:00,729,2,0,9,0,0
25/02/2020 00:00:00,837,2,0,9,0,0
26/02/2020 00:00:00,945,2,0,9,0,0
27/02/2020 00:00:00,"1,116",3,0,10,0,0
28/02/2020 00:00:00,"1,234",5,0,13,0,0
29/02/2020 00:00:00,"1,392",5,0,13,0,0
01/03/2020 00:00:00,"1,579",7,0,14,0,0
02/03/2020 00:00:00,"1,750",10,0,19,0,0
03/03/2020 00:00:00,"1,985",10,0,22,0,0
04/03/2020 00:00:00,"2,114",12,0,22,0,0
05/03/2020 00:00:00,"2,287",13,0,24,1,0
06/03/2020 00:00:00,"2,561",16,1,28,2,0
07/03/2020 00:00:00,"2,897",20,2,32,3,0
08/03/2020 00:00:00,"3,318",27,4,41,5,0
09/03/2020 00:00:00,"3,836",41,4,45,5,0
10/03/2020 00:00:00,"4,356",61,5,78,6,0
11/03/2020 00:00:00,"4,757",84,6,97,7,0
12/03/2020 00:00:00,"5,364",107,6,119,7,0
13/03/2020 00:00:00,"6,058",127,6,154,7,0
14/03/2020 00:00:00,"6,672",167,4,183,6,0
15/03/2020 00:00:00,"7,855",206,6,222,9,0
16/03/2020 00:00:00,"9,199",225,7,295,11,0
17/03/2020 00:00:00,"10,845",259,7,389,12,0
18/03/2020 00:00:00,"12,951",312,7,507,16,0
19/03/2020 00:00:00,"15,027",300,12,643,21,0
20/03/2020 00:00:00,"17,344",292,12,811,23,1
21/03/2020 00:00:00,"19,452",283,15,"1,021",27,1
22/03/2020 00:00:00,"22,678",332,22,"1,275",38,1
23/03/2020 00:00:00,"26,202",362,24,"1,627",44,1
24/03/2020 00:00:00,"30,869",407,26,"2,050",48,4
25/03/2020 00:00:00,"36,794",428,28,"2,475",52,5
26/03/2020 00:00:00,"43,251",484,31,"2,995",56,10
27/03/2020 00:00:00,"48,990",533,37,"3,429",67,12
28/03/2020 00:00:00,"54,728",528,41,"3,909",70,13
29/03/2020 00:00:00,"62,294",557,50,"4,440",80,16
30/03/2020 00:00:00,"69,394",634,55,"4,988",90,17
31/03/2020 00:00:00,"77,381",684,64,"5,726",98,21
01/04/2020 00:00:00,"86,389",773,72,"6,422",111,29
02/04/2020 00:00:00,"96,614",817,79,"7,141",113,38
03/04/2020 00:00:00,"106,943",815,93,"7,739",131,43
04/04/2020 00:00:00,"113,297",790,107,"8,167",140,49
05/04/2020 00:00:00,"122,691",826,107,"8,750",135,56
06/04/2020 00:00:00,"130,189",809,110,"9,201",147,64
07/04/2020 00:00:00,"137,156",750,106,"9,578",160,72
08/04/2020 00:00:00,"143,034",694,115,"9,916",166,80
09/04/2020 00:00:00,"148,782",669,117,"10,259",166,89
10/04/2020 00:00:00,"156,129",674,128,"10,618",170,97
11/04/2020 00:00:00,"162,831",627,130,"10,963",182,103
12/04/2020 00:00:00,"173,429",670,130,"11,515",177,109
13/04/2020 00:00:00,"184,379",696,137,"11,953",192,118
14/04/2020 00:00:00,"197,057",684,134,"12,352",178,126
15/04/2020 00:00:00,"206,507",691,133,"12,663",179,139
16/04/2020 00:00:00,"219,295",702,137,"12,960",182,146
17/04/2020 00:00:00,"230,889",667,124,"13,258",165,155
18/04/2020 00:00:00,"241,495",637,118,"13,549",174,166
19/04/2020 00:00:00,"252,974",624,118,"13,825",157,174
20/04/2020 00:00:00,"268,339",600,123,"14,124",154,180
21/04/2020 00:00:00,"281,951",550,119,"14,406",145,189
22/04/2020 00:00:00,"295,244",525,110,"14,631",149,192
23/04/2020 00:00:00,"309,427",496,115,"14,907",146,196
24/04/2020 00:00:00,"322,054",468,110,"15,155",144,199
25/04/2020 00:00:00,"331,131",441,107,"15,314",136,202
26/04/2020 00:00:00,"339,595",437,111,"15,397",142,204
27/04/2020 00:00:00,"351,119",413,101,"15,525",132,208
28/04/2020 00:00:00,"361,758",391,100,"15,684",127,213
29/04/2020 00:00:00,"370,754",383,96,"15,766",122,219
30/04/2020 00:00:00,"380,684",377,90,"15,908",112,225
01/05/2020 00:00:00,"391,736",345,89,"16,024",109,229
02/05/2020 00:00:00,"397,304",337,90,"16,081",111,232
03/05/2020 00:00:00,"405,333",326,84,"16,108",101,235
04/05/2020 00:00:00,"414,591",308,78,"16,161",97,238
05/05/2020 00:00:00,"423,548",271,72,"16,193",91,240
06/05/2020 00:00:00,"433,014",267,70,"16,258",88,241
07/05/2020 00:00:00,"443,133",255,70,"16,319",84,242
08/05/2020 00:00:00,"451,290",243,64,"16,352",78,248
09/05/2020 00:00:00,"455,158",247,64,"16,371",78,251
10/05/2020 00:00:00,"460,102",245,66,"16,400",74,255
11/05/2020 00:00:00,"469,317",229,60,"16,439",69,260
12/05/2020 00:00:00,"476,855",219,56,"16,462",65,263
13/05/2020 00:00:00,"485,127",203,53,"16,501",61,266
14/05/2020 00:00:00,"493,543",198,52,"16,523",61,268
15/05/2020 00:00:00,"499,239",189,52,"16,535",61,268
16/05/2020 00:00:00,"500,741",183,51,"16,540",60,271
17/05/2020 00:00:00,"505,374",186,45,"16,555",55,275
18/05/2020 00:00:00,"513,066",172,43,"16,582",52,278
19/05/2020 00:00:00,"520,208",166,40,"16,604",51,280
20/05/2020 00:00:00,"526,176",159,41,"16,619",46,281
21/05/2020 00:00:00,"532,340",151,37,"16,636",47,281
22/05/2020 00:00:00,"537,335",143,37,"16,655",46,281
23/05/2020 00:00:00,"538,053",143,37,"16,660",46,281
24/05/2020 00:00:00,"541,861",141,34,"16,673",43,282
25/05/2020 00:00:00,"547,194",132,29,"16,695",41,284
26/05/2020 00:00:00,"554,013",124,32,"16,745",36,284
27/05/2020 00:00:00,"560,741",122,36,"16,785",40,286
28/05/2020 00:00:00,"566,093",122,34,"16,862",36,287
29/05/2020 00:00:00,"567,956",119,37,"16,975",39,287
30/05/2020 00:00:00,"569,015",125,33,"17,004",35,287
31/05/2020 00:00:00,"574,655",128,31,"17,091",35,287
01/06/2020 00:00:00,"582,810",128,29,"17,191",32,290
02/06/2020 00:00:00,"594,567",122,29,"17,312",29,292
03/06/2020 00:00:00,"607,776",121,25,"17,409",28,293
04/06/2020 00:00:00,"622,675",128,23,"17,551",30,293
05/06/2020 00:00:00,"639,149",122,23,"17,678",29,294
06/06/2020 00:00:00,"650,686",117,21,"17,756",29,298
07/06/2020 00:00:00,"665,784",125,23,"17,896",29,300
08/06/2020 00:00:00,"680,428",136,23,"18,075",30,300
09/06/2020 00:00:00,"695,492",132,24,"18,248",31,301
10/06/2020 00:00:00,"713,976",141,24,"18,488",32,302
11/06/2020 00:00:00,"729,786",136,24,"18,680",35,302
12/06/2020 00:00:00,"742,918",139,25,"18,864",35,302
13/06/2020 00:00:00,"749,905",136,26,"19,013",35,303
14/06/2020 00:00:00,"758,745",146,23,"19,149",31,305
15/06/2020 00:00:00,"773,181",158,25,"19,347",36,305
16/06/2020 00:00:00,"789,420",156,26,"19,647",38,306
17/06/2020 00:00:00,"805,444",161,29,"19,918",36,306
18/06/2020 00:00:00,"822,836",189,28,"20,220",40,306
19/06/2020 00:00:00,"835,623",193,29,"20,530",39,307
20/06/2020 00:00:00,"841,633",217,28,"20,690",41,308
21/06/2020 00:00:00,"850,785",250,29,"20,863",45,308
22/06/2020 00:00:00,"864,794",236,29,"21,208",43,309
23/06/2020 00:00:00,"884,641",220,26,"21,660",40,311
24/06/2020 00:00:00,"903,034",225,27,"22,147",45,314
25/06/2020 00:00:00,"921,700",220,28,"22,663",44,318
26/06/2020 00:00:00,"938,231",240,26,"23,127",45,321
27/06/2020 00:00:00,"948,720",243,22,"23,525",40,324
28/06/2020 00:00:00,"959,109",271,22,"23,910",39,326
29/06/2020 00:00:00,"980,126",276,24,"24,667",44,326
30/06/2020 00:00:00,"1,000,966",295,24,"25,453",56,327
01/07/2020 00:00:00,"1,022,426",332,24,"26,424",59,330
02/07/2020 00:00:00,"1,047,467",344,28,"27,572",72,331
03/07/2020 00:00:00,"1,068,418",359,29,"28,511",83,334
04/07/2020 00:00:00,"1,085,726",369,33,"29,332",85,339
05/07/2020 00:00:00,"1,106,838",427,32,"30,163",94,341
06/07/2020 00:00:00,"1,132,439",449,34,"31,297",90,349
07/07/2020 00:00:00,"1,161,073",469,35,"32,687",94,354
08/07/2020 00:00:00,"1,190,493",495,38,"34,014",113,359
09/07/2020 00:00:00,"1,220,480",552,41,"35,538",126,364
10/07/2020 00:00:00,"1,246,309",562,41,"36,948",130,368
11/07/2020 00:00:00,"1,266,777",567,46,"38,116",136,373
12/07/2020 00:00:00,"1,288,540",642,47,"39,355",151,380
13/07/2020 00:00:00,"1,317,787",657,53,"41,075",184,384
14/07/2020 00:00:00,"1,349,537",643,55,"42,678",190,391
15/07/2020 00:00:00,"1,380,229",681,58,"44,555",209,397
16/07/2020 00:00:00,"1,411,307",692,59,"46,492",209,406
17/07/2020 00:00:00,"1,437,039",705,58,"48,097",219,418
18/07/2020 00:00:00,"1,457,496",712,56,"49,545",235,426
19/07/2020 00:00:00,"1,477,342",827,73,"50,561",270,436
20/07/2020 00:00:00,"1,504,950",823,78,"52,448",264,448
21/07/2020 00:00:00,"1,535,127",810,80,"54,454",256,457
22/07/2020 00:00:00,"1,563,934",805,79,"56,498",284,463
23/07/2020 00:00:00,"1,596,470",821,83,"58,487",310,479
24/07/2020 00:00:00,"1,620,870",816,86,"60,317",329,487
25/07/2020 00:00:00,"1,636,356",819,98,"61,429",321,494
26/07/2020 00:00:00,"1,648,560",894,99,"62,471",311,505
27/07/2020 00:00:00,"1,676,805",919,94,"64,519",316,512
28/07/2020 00:00:00,"1,703,444",904,94,"66,644",322,520
29/07/2020 00:00:00,"1,729,672",895,96,"68,598",335,535
30/07/2020 00:00:00,"1,751,634",865,101,"70,385",318,550
31/07/2020 00:00:00,"1,774,532",862,93,"71,747",317,564
01/08/2020 00:00:00,"1,782,322",870,93,"72,372",337,578
02/08/2020 00:00:00,"1,792,409",947,99,"73,080",349,589
03/08/2020 00:00:00,"1,815,877",922,93,"74,880",328,604
04/08/2020 00:00:00,"1,841,976",888,97,"76,609",341,615
05/08/2020 00:00:00,"1,867,768",902,104,"78,299",354,625
06/08/2020 00:00:00,"1,896,535",885,96,"79,976",356,634
07/08/2020 00:00:00,"1,921,845",886,103,"81,740",366,646
08/08/2020 00:00:00,"1,930,428",902,100,"82,494",386,659
09/08/2020 00:00:00,"1,942,591","1,004",109,"83,418",386,666
10/08/2020 00:00:00,"1,966,959",938,108,"85,122",391,681
11/08/2020 00:00:00,"1,994,626",902,109,"86,945",372,692
12/08/2020 00:00:00,"2,020,859",878,106,"88,567",371,707
