,R,date_as_date,Stringency_index_in_Israel,total_intubated,number_kashim,daily_deaths,number_kashim_smooth,total_intubated_smooth,daily_deaths_smooth,delta_deaths_raw1,delta_deaths_from_smoothed_1day,delta_deaths_from_smoothed_1week
0,2.64,2020-03-01,19.44,0,0,0.0,0.0,0.0,0.0,,,
1,2.25,2020-03-02,19.44,0,0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,
2,2.39,2020-03-03,19.44,0,0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,
3,2.44,2020-03-04,33.33,0,0,0.0,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0,
4,2.36,2020-03-05,33.33,0,1,0.0,1.5714285714285714,1.0,0.0,0.0,0.0,
5,2.63,2020-03-06,33.33,1,2,0.0,2.2857142857142856,1.5714285714285714,0.0,0.0,0.0,
6,2.18,2020-03-07,33.33,2,3,0.0,3.142857142857143,2.2857142857142856,0.0,0.0,0.0,
7,2.26,2020-03-08,33.33,4,5,0.0,4.142857142857143,3.142857142857143,0.0,0.0,0.0,0.0
8,2.31,2020-03-09,33.33,4,5,0.0,5.0,4.0,0.0,0.0,0.0,0.0
9,2.28,2020-03-10,33.33,5,6,0.0,5.714285714285714,4.714285714285714,0.0,0.0,0.0,0.0
10,2.36,2020-03-11,33.33,6,7,0.0,6.142857142857143,5.0,0.0,0.0,0.0,0.0
11,2.39,2020-03-12,41.67,6,7,0.0,6.714285714285714,5.285714285714286,0.0,0.0,0.0,0.0
12,2.32,2020-03-13,52.78,6,7,0.0,7.571428571428571,5.714285714285714,0.0,0.0,0.0,0.0
13,2.25,2020-03-14,52.78,4,6,0.0,8.428571428571429,6.0,0.0,0.0,0.0,0.0
14,2.13,2020-03-15,62.96,6,9,0.0,9.714285714285714,6.142857142857143,0.0,0.0,0.0,0.0
15,2.08,2020-03-16,68.52,7,11,0.0,11.714285714285714,7.0,0.0,0.0,0.0,0.0
16,1.96,2020-03-17,77.78,7,12,0.0,14.0,7.857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
17,1.85,2020-03-18,77.78,7,16,0.0,17.0,9.428571428571429,0.14285714285714285,0.0,0.0,0.14285714285714285
18,1.74,2020-03-19,77.78,12,21,0.0,21.142857142857142,11.714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285
19,1.6,2020-03-20,81.48,12,23,1.0,25.857142857142858,14.142857142857142,0.14285714285714285,1.0,0.0,0.14285714285714285
20,1.52,2020-03-21,81.48,15,27,0.0,31.0,16.857142857142858,0.5714285714285714,-1.0,0.42857142857142855,0.5714285714285714
21,1.46,2020-03-22,81.48,22,38,0.0,36.142857142857146,19.857142857142858,0.7142857142857143,0.0,0.1428571428571429,0.7142857142857143
22,1.38,2020-03-23,81.48,24,44,0.0,41.142857142857146,22.571428571428573,1.4285714285714286,0.0,0.7142857142857143,1.4285714285714286
23,1.34,2020-03-24,81.48,26,48,3.0,47.42857142857143,26.142857142857142,1.5714285714285714,3.0,0.1428571428571428,1.4285714285714286
24,1.25,2020-03-25,81.48,28,52,1.0,53.57142857142857,29.857142857142858,1.7142857142857142,-2.0,0.1428571428571428,1.5714285714285714
25,1.2,2020-03-26,81.48,31,56,5.0,59.57142857142857,33.857142857142854,2.142857142857143,4.0,0.4285714285714286,2.0
26,1.13,2020-03-27,81.48,37,67,2.0,66.14285714285714,38.285714285714285,2.2857142857142856,-3.0,0.1428571428571428,2.142857142857143
27,0.99,2020-03-28,81.48,41,70,1.0,73.28571428571429,43.714285714285715,2.4285714285714284,-1.0,0.1428571428571428,1.857142857142857
28,0.89,2020-03-29,81.48,50,80,3.0,81.71428571428571,50.0,3.4285714285714284,2.0,1.0,2.714285714285714
29,0.8,2020-03-30,81.48,55,90,1.0,89.85714285714286,56.857142857142854,4.0,-2.0,0.5714285714285716,2.571428571428571
30,0.77,2020-03-31,81.48,64,98,4.0,99.0,64.85714285714286,4.428571428571429,3.0,0.4285714285714288,2.8571428571428577
31,0.78,2020-04-01,85.19,72,111,8.0,109.0,74.28571428571429,5.142857142857143,4.0,0.7142857142857144,3.428571428571429
32,0.82,2020-04-02,85.19,79,113,9.0,116.85714285714286,82.42857142857143,5.714285714285714,1.0,0.5714285714285712,3.5714285714285716
33,0.86,2020-04-03,87.96,93,131,5.0,125.0,90.28571428571429,6.714285714285714,-4.0,1.0,4.428571428571429
34,0.89,2020-04-04,87.96,107,140,6.0,133.85714285714286,96.28571428571429,7.285714285714286,1.0,0.5714285714285712,4.857142857142858
35,0.91,2020-04-05,87.96,107,135,7.0,141.71428571428572,102.42857142857143,7.285714285714286,1.0,0.0,3.857142857142857
36,0.91,2020-04-06,87.96,110,147,8.0,149.28571428571428,107.85714285714286,7.285714285714286,1.0,0.0,3.2857142857142856
37,0.91,2020-04-07,90.74,106,160,8.0,154.85714285714286,112.85714285714286,7.714285714285714,0.0,0.4285714285714288,3.2857142857142856
38,0.9,2020-04-08,94.44,115,166,8.0,160.85714285714286,116.14285714285714,7.714285714285714,0.0,0.0,2.571428571428571
39,0.83,2020-04-09,94.44,117,166,9.0,166.85714285714286,119.42857142857143,7.571428571428571,1.0,-0.14285714285714324,1.8571428571428568
40,0.81,2020-04-10,94.44,128,170,8.0,173.28571428571428,123.28571428571429,7.714285714285714,-1.0,0.14285714285714324,1.0
41,0.8,2020-04-11,91.67,130,182,6.0,175.85714285714286,127.28571428571429,7.714285714285714,-2.0,0.0,0.4285714285714288
42,0.8,2020-04-12,91.67,130,177,6.0,177.71428571428572,129.85714285714286,8.428571428571429,0.0,0.7142857142857144,1.1428571428571432
43,0.83,2020-04-13,91.67,137,192,9.0,180.0,132.71428571428572,8.142857142857142,3.0,-0.2857142857142865,0.8571428571428568
44,0.84,2020-04-14,94.44,134,178,8.0,179.28571428571428,132.14285714285714,8.285714285714286,-1.0,0.14285714285714413,0.5714285714285721
45,0.81,2020-04-15,94.44,133,179,13.0,178.14285714285714,130.42857142857142,9.0,5.0,0.7142857142857135,1.2857142857142856
46,0.74,2020-04-16,94.44,137,182,7.0,175.28571428571428,128.71428571428572,9.285714285714286,-6.0,0.2857142857142865,1.7142857142857153
47,0.69,2020-04-17,91.67,124,165,9.0,169.85714285714286,126.71428571428571,8.857142857142858,2.0,-0.4285714285714288,1.1428571428571432
48,0.68,2020-04-18,91.67,118,174,11.0,165.14285714285714,124.57142857142857,9.0,2.0,0.14285714285714235,1.2857142857142856
49,0.64,2020-04-19,87.96,118,157,8.0,160.85714285714286,121.28571428571429,7.571428571428571,-3.0,-1.4285714285714288,-0.8571428571428577
50,0.63,2020-04-20,87.96,123,154,6.0,155.71428571428572,118.14285714285714,7.142857142857143,-2.0,-0.42857142857142794,-0.9999999999999991
51,0.61,2020-04-21,87.96,119,145,9.0,152.71428571428572,116.14285714285714,6.285714285714286,3.0,-0.8571428571428577,-2.000000000000001
52,0.59,2020-04-22,87.96,110,149,3.0,147.28571428571428,114.57142857142857,5.142857142857143,-6.0,-1.1428571428571423,-3.8571428571428568
53,0.57,2020-04-23,87.96,115,146,4.0,145.14285714285714,113.57142857142857,4.285714285714286,1.0,-0.8571428571428577,-5.000000000000001
54,0.56,2020-04-24,87.96,110,144,3.0,142.0,110.42857142857143,4.0,-1.0,-0.2857142857142856,-4.857142857142858
55,0.5,2020-04-25,87.96,107,136,3.0,139.42857142857142,107.71428571428571,3.4285714285714284,0.0,-0.5714285714285716,-5.571428571428571
56,0.55,2020-04-26,84.26,111,142,2.0,135.57142857142858,105.71428571428571,3.857142857142857,-1.0,0.4285714285714288,-3.714285714285714
57,0.54,2020-04-27,84.26,101,132,4.0,130.71428571428572,102.14285714285714,4.142857142857143,2.0,0.28571428571428603,-3.0
58,0.5,2020-04-28,87.04,100,127,5.0,125.71428571428571,99.14285714285714,4.285714285714286,1.0,0.14285714285714235,-2.0
59,0.49,2020-04-29,87.04,96,122,6.0,122.14285714285714,96.71428571428571,4.285714285714286,1.0,0.0,-0.8571428571428577
